Names,IC50_glucosidase
G_cowa,.630757381
G_cowa,.608844381
G_cowa,.644283782
P_debilis,.697792869
P_debilis,.727287099
P_debilis,.731095424
P_evecta_leaf,.575489784
P_evecta_leaf,.572705659
P_evecta_leaf,.566191922
P_evecta_Rhizome,.641052022
P_evecta_Rhizome,.591332734
P_evecta_Rhizome,.652539994
P_anamense,.531791445
P_anamense,.523258781
P_anamense,.511069199
P_Kesiya,.596354652
P_Kesiya,.586174114
P_Kesiya,.613579166
C_formosum,.627348207
C_formosum,.634787991
C_formosum,.685348279
C_oblongifolius,.498515812
C_oblongifolius,.530108326
C_oblongifolius,.439253073
